emploi,entreprise,localisation,date_publication,temps_travail,salaire_annuel,categorie_salaire
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:36:43.783969,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:36:43.785709,1,31800.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:36:48.366002,0,26000.0,0
Chauffeur Opérateur la Ciotat H/F,SARP,La Ciotat - 13,2025-12-14 00:36:48.366711,1,26000.0,0
Jardinier Paysagiste H/F,Adonis Paysages,Vallauris - 06,2025-12-14 00:36:48.368403,1,33000.0,1
Technicien Usine d'Eau Potable et Assainissement H/F,Veolia Eau,Sainte-Menehould - 51,2025-12-14 00:36:48.369441,1,29300.0,1
Employé Qualifié Logistique Magasin H/F,Auchan Retail France,Caluire-et-Cuire - 69,2025-12-14 00:36:48.371112,1,24947.0,0
Opérateur Réseaux H/F,Veolia Eau,Aime-la-Plagne - 73,2025-12-14 00:36:48.371460,1,34000.0,1
Collaborateur Comptable Confirmé H/F,CERFRANCE Mayenne/Sarthe,Le Grand-Lucé - 72,2025-12-14 00:36:48.372847,1,31500.0,1
Second de Cuisine H/F,Vitalrest,Paris 18e - 75,2025-12-14 00:36:48.373308,1,28224.0,0
Auxiliaire de Vie H/F,ADHAP,Clermont-Ferrand - 63,2025-12-14 00:36:48.374084,0,12.0,0
Commercial Terrain Btob - Bâtiment H/F,Dorthz,Loire-Atlantique - 44,2025-12-14 00:36:48.374814,1,37500.0,1
Conducteur de Ligne H/F,JH Industries,Rocheservière - 85,2025-12-14 00:36:48.376184,1,23292.0,0
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:36:53.232751,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:36:53.233450,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:36:53.233824,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:36:53.234291,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:36:53.236334,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:36:53.237329,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:36:53.239668,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:36:53.241655,1,46500.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:36:57.034362,1,22800.0,0
Assistant Ménager Ossé H/F,Maison et Services,Châteaugiron - 35,2025-12-14 00:36:57.035050,0,11.0,0
Directeur Hypermarché H/F,Auchan Retail France,Lyon - 69,2025-12-14 00:36:57.035397,1,80600.0,1
Verkäufer - In M - W - D - In Voll - Teilzeit H/F,Jacadi,Allemagne,2025-12-14 00:36:57.035730,0,26000.0,0
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:36:57.037725,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:36:57.038723,1,45000.0,1
Technicien Exploitation Maintenance H/F,SCP – Société du canal de Provence,Le Tholonet - 13,2025-12-14 00:36:57.041096,1,27500.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:36:57.043097,1,46500.0,1
Responsable Animations Pièces & Services H/F,Emil Frey France,Grenoble - 38,2025-12-14 00:37:02.206958,1,47500.0,1
Responsable Back-Office & Supply H/F,Dresco,Paris - 75,2025-12-14 00:37:02.207982,1,45000.0,1
Chef Gérant - Manager de Site Cuisinant H/F,Elior Restauration,Publier - 74,2025-12-14 00:37:02.208646,1,33600.0,1
Gestionnaire Production IARD H/F,DIOT-SIACI,Paris - 75,2025-12-14 00:37:02.209623,1,34000.0,1
Technicien Itinérant Matériel d'Hygiène Professionnelle H/F,PLG,Nîmes - 30,2025-12-14 00:37:02.210324,1,28200.0,0
Auxiliaire de Vie H/F,ADHAP,Vannes - 56,2025-12-14 00:37:02.210686,1,11.0,0
Second de Cuisine H/F,Vitalrest,La Bastide-Clairence - 64,2025-12-14 00:37:02.211026,1,2216.0,0
Chef de Mission Expertise Comptable H/F,PKF Arsilon,Saint-Quentin - 02,2025-12-14 00:37:02.212024,1,46500.0,1
Mécanicien de Maintenance Automobile H/F,Point S Réseau,Les Pieux - 50,2025-12-14 00:37:02.213734,1,31800.0,1
Boulanger H/F,Boulangerie  Ange,Jaux - 60,2025-12-14 00:37:05.883989,1,22800.0,0
